llm,subcategory,metric,mean,std,median,min,max,valid_entries,accuracy,precision,recall,f1_score,mismatch_percentage
grok,absurdist_dread,funniness,1.9823434991974318,1.412396755747113,1.0,1.0,7.0,623,,,,,
grok,absurdist_dread,offensiveness,1.2696629213483146,0.9712065532900352,1.0,1.0,10.0,623,,,,,
grok,absurdist_dread,originality,2.826645264847512,2.1462888364474746,2.0,1.0,9.0,623,,,,,
grok,absurdist_dread,appropriateness,4.491974317817014,0.7155371148189426,4.5,0.5,5.0,623,,,,,
grok,absurdist_dread,clarity,6.401929260450161,3.2727631381746747,7.0,1.0,10.0,622,,,,,
grok,absurdist_dread,confidence,8.389423076923077,0.8426532585456178,8.0,3.0,10.0,624,,,,,
grok,absurdist_dread,performance,,,,,,624,0.11057692307692307,1.0,0.11057692307692307,0.19913419913419914,88.9423076923077
grok,anachronism,funniness,2.5833333333333335,2.0207259421636903,2.0,1.0,7.0,12,,,,,
grok,anachronism,offensiveness,1.25,0.8660254037844386,1.0,1.0,4.0,12,,,,,
grok,anachronism,originality,3.3333333333333335,2.348435972120917,3.0,1.0,7.0,12,,,,,
grok,anachronism,appropriateness,4.625,0.5690901829794961,4.75,3.0,5.0,12,,,,,
grok,anachronism,clarity,7.833333333333333,2.4802248187442912,8.0,1.0,10.0,12,,,,,
grok,anachronism,confidence,8.5,0.5222329678670935,8.5,8.0,9.0,12,,,,,
grok,anachronism,performance,,,,,,12,0.0,0.0,0.0,0.0,100.0
grok,anti-jokes,funniness,2.733491969066032,2.016391815509998,2.0,1.0,7.0,1681,,,,,
grok,anti-jokes,offensiveness,1.7312722948870392,1.7595722868167638,1.0,1.0,9.0,1682,,,,,
grok,anti-jokes,originality,2.9447086801426874,2.238840779342922,2.0,1.0,8.0,1682,,,,,
grok,anti-jokes,appropriateness,4.349583828775268,1.047913626061798,4.5,0.5,5.0,1682,,,,,
grok,anti-jokes,clarity,7.097560975609756,3.0581662728473336,8.0,1.0,10.0,1681,,,,,
grok,anti-jokes,confidence,8.395017793594306,0.8894095495688187,8.0,3.0,10.0,1686,,,,,
grok,anti-jokes,performance,,,,,,1683,0.44385026737967914,1.0,0.44385026737967914,0.6148148148148148,55.61497326203209
grok,authority_mockery,funniness,2.8223684210526314,2.1036139627856225,2.0,1.0,7.0,152,,,,,
grok,authority_mockery,offensiveness,2.6710526315789473,2.2575152366194984,1.0,1.0,9.0,152,,,,,
grok,authority_mockery,originality,3.0723684210526314,2.199042457733978,3.0,1.0,8.0,152,,,,,
grok,authority_mockery,appropriateness,3.924342105263158,1.2851158481304588,4.5,0.5,5.0,152,,,,,
grok,authority_mockery,clarity,7.223684210526316,2.9525998610295456,8.0,1.0,10.0,152,,,,,
grok,authority_mockery,confidence,8.411764705882353,0.6642111641550715,8.0,7.0,10.0,153,,,,,
grok,authority_mockery,performance,,,,,,153,0.3137254901960784,1.0,0.3137254901960784,0.47761194029850745,68.62745098039215
grok,british_class_humor,funniness,2.911808669656203,2.107797297741848,2.0,1.0,7.0,669,,,,,
grok,british_class_humor,offensiveness,1.482089552238806,1.2795301563335324,1.0,1.0,10.0,670,,,,,
grok,british_class_humor,originality,3.064179104477612,2.112048254741106,3.0,1.0,8.0,670,,,,,
grok,british_class_humor,appropriateness,4.455223880597015,0.7976579285810848,4.5,0.5,5.0,670,,,,,
grok,british_class_humor,clarity,7.259370314842578,2.91215969297285,8.0,1.0,10.0,667,,,,,
grok,british_class_humor,confidence,8.293413173652695,0.75298111057025,8.0,1.0,10.0,1503,,,,,
grok,british_class_humor,performance,,,,,,1509,0.2982107355864811,1.0,0.2982107355864811,0.45941807044410415,70.17892644135189
grok,contextual_sarcasm,funniness,3.0342205323193916,2.2654827900009646,2.0,1.0,7.0,263,,,,,
grok,contextual_sarcasm,offensiveness,1.9695817490494296,1.7881679118267966,1.0,1.0,9.0,263,,,,,
grok,contextual_sarcasm,originality,3.2395437262357416,2.4212077811009785,2.0,1.0,8.0,263,,,,,
grok,contextual_sarcasm,appropriateness,4.192015209125476,1.1061128414806558,4.5,0.5,5.0,263,,,,,
grok,contextual_sarcasm,clarity,6.893536121673004,3.148378360851751,8.0,1.0,10.0,263,,,,,
grok,contextual_sarcasm,confidence,8.402298850574713,0.634758041999697,8.0,7.0,10.0,261,,,,,
grok,contextual_sarcasm,performance,,,,,,261,0.4827586206896552,1.0,0.4827586206896552,0.6511627906976745,51.72413793103448
grok,cringe_comedy,funniness,2.2142857142857144,1.7604837789336492,1.0,1.0,7.0,42,,,,,
grok,cringe_comedy,offensiveness,2.5238095238095237,2.5967906575100494,1.0,1.0,10.0,42,,,,,
grok,cringe_comedy,originality,2.3333333333333335,1.677202471403289,1.5,1.0,7.0,42,,,,,
grok,cringe_comedy,appropriateness,3.9404761904761907,1.5309903575885238,4.75,0.5,5.0,42,,,,,
grok,cringe_comedy,clarity,5.619047619047619,3.554127665277621,6.0,1.0,10.0,42,,,,,
grok,cringe_comedy,confidence,7.785714285714286,1.760483778933649,8.0,3.0,10.0,42,,,,,
grok,cringe_comedy,performance,,,,,,42,0.2857142857142857,1.0,0.2857142857142857,0.4444444444444444,71.42857142857143
