joke_num,text,true_label,llm_classification,confidence,llm_personal_funny,funniness,offensiveness,originality,appropriateness,clarity,upvotes,downvotes,score
1,"[Request] Are there more cubic planck-lengths in a cubic meter or cubic meters in the known universe? Additionally, what would be the size of a model “known universe” be if the scale is 1 planck-length = 1 meter?",True,NO,8,NO,2,1,5,8,3,2.0,0.0,2.0
2,"The candela ( or ; symbol: cd) is the base unit of luminous intensity in the International System of Units (SI); that is, luminous power per unit solid angle emitted by a point light source in a particular direction",False,NO,8,NO,1,1,1,10,10,,,
3,"[Request] How strong would a fist traveling at 50% the speed of light be? Just as described on the tin, if someone were to somehow be moving at 50% the speed of light and were to punch something (with a fist the size of an average human woman's), how much force would be output? What's the strongest thing it could destroy?",True,NO,8,NO,3,1,7,8,6,21.0,0.0,21.0
4,"[Request] Climbing stairs efficiently. Energy wise, is it better to climb two steps at a time or one at a time?",True,NO,8,NO,2,1,3,9,8,2.0,0.0,2.0
5,Chain mail (often just mail or sometimes chainmail) is a type of armour consisting of small metal rings linked together in a pattern to form a mesh,False,NO,8,NO,1,1,1,10,10,,,
6,"[Request] If enough soil were to be transferred to Point Nemo (the point in the ocean furthest away from any land) that land would be present above sea level, where would be the 'next' Point Nemo located?",True,NO,8,NO,3,1,7,9,8,4.0,0.0,4.0
7,"[Request] If gyms would make their machines generate electricity, how much could they generate? And how much could they make if they sold it?",True,YES,8,NO,3,1,7,9,8,33.0,0.0,33.0
8,[Request] If half of the baryonic matter in a human body were to be converted into anti-matter how big would the resulting explosion be? Imagine that exactly 50% of all matter in an average human body were converted into anti-matter how big would the resulting annihilation be? I assume it would result in a massive explosion that would more or less destroy half the galaxy but im curious what the numbers say.,True,YES,8,NO,3,1,6,8,7,2.0,0.0,2.0
9,ASCII art is a graphic design technique that uses computers for presentation and consists of pictures pieced together from the 95 printable (from a total of 128) characters defined by the ASCII Standard from 1963 and ASCII compliant character sets with proprietary extended characters (beyond the 128 characters of standard 7-bit ASCII),False,YES,8,NO,1,1,2,10,10,,,
10,It is the last day of the first half of the year,False,NO,8,NO,2,1,1,10,5,,,
